Face_ID,Attention_Time_s,start_time,end_time,Total_Time_s
1,306.75,0.01,161.41,306.75
2,0.95,5.18,6.47,0.95
3,1.76,157.03,161.41,1.76
4,4.83,131.31,140.73,4.83
5,3.63,104.1,113.07,3.63
6,0.65,144.82,146.48,0.65
7,9.94,51.0,64.24,9.94
8,0.25,28.33,28.33,0.25
9,1.06,28.94,30.24,1.06
10,32.78,41.82,85.04,32.78
11,0.11,104.01,104.01,0.11
12,5.24,145.65,161.23,5.24
13,0.06,148.02,148.02,0.06
14,1.3,99.63,103.9,1.3
15,0.06,148.54,148.54,0.06
16,1.52,115.73,117.92,1.52
17,7.27,148.66,161.23,7.27
18,1.27,134.78,135.89,1.27
19,0.28,141.0,141.0,0.28
20,5.6,152.98,161.41,5.6
21,3.79,139.27,142.8,3.79
22,3.42,136.06,139.53,3.42

Summary
Total_People_Watched,22
Total_Attention_Time_s,392.54
Average_Attention_Time_s,17.84
Campaign_Duration_s,161.65
